route,from,to,platform,dep,arr
1系統,中央駅,北口バスターミナル,1番のりば,07:00,07:18
1系統,中央駅,北口バスターミナル,1番のりば,07:30,07:48
1系統,中央駅,北口バスターミナル,1番のりば,08:00,08:20
1系統,中央駅,北口バスターミナル,1番のりば,09:00,09:18
1系統,中央駅,北口バスターミナル,1番のりば,10:00,10:18
1系統,中央駅,北口バスターミナル,1番のりば,12:00,12:18
1系統,中央駅,北口バスターミナル,1番のりば,15:00,15:18
1系統,中央駅,北口バスターミナル,1番のりば,18:00,18:22
1系統,中央駅,北口バスターミナル,1番のりば,21:00,21:18
1系統,北口バスターミナル,中央駅,3番のりば,07:35,07:53
1系統,北口バスターミナル,中央駅,3番のりば,08:10,08:28
1系統,北口バスターミナル,中央駅,3番のりば,09:05,09:23
1系統,北口バスターミナル,中央駅,3番のりば,10:05,10:23
1系統,北口バスターミナル,中央駅,3番のりば,12:05,12:23
1系統,北口バスターミナル,中央駅,3番のりば,15:05,15:23
1系統,北口バスターミナル,中央駅,3番のりば,18:05,18:27
1系統,北口バスターミナル,中央駅,3番のりば,21:05,21:23
2系統,中央駅,市民病院前,2番のりば,08:00,08:24
2系統,中央駅,市民病院前,2番のりば,10:00,10:22
2系統,中央駅,市民病院前,2番のりば,12:00,12:22
2系統,中央駅,市民病院前,2番のりば,14:00,14:22
2系統,中央駅,市民病院前,2番のりば,16:00,16:22
2系統,中央駅,市民病院前,2番のりば,18:00,18:25
2系統,市民病院前,中央駅,病院バス停,08:30,08:54
2系統,市民病院前,中央駅,病院バス停,10:30,10:52
2系統,市民病院前,中央駅,病院バス停,12:30,12:52
2系統,市民病院前,中央駅,病院バス停,14:30,14:52
2系統,市民病院前,中央駅,病院バス停,16:30,16:52
2系統,市民病院前,中央駅,病院バス停,18:30,18:55
